ids,label
362,neg
363,pos
364,pos
365,pos
366,pos
367,neg
368,neg
369,pos
370,neg
371,neg
372,pos
373,pos
374,pos
375,pos
376,neg
377,pos
378,pos
379,neg
380,pos
381,pos
382,pos
383,neg
384,pos
385,neg
386,pos
387,pos
388,pos
389,pos
390,neg
391,pos
392,pos
393,pos
394,neg
395,neg
396,pos
397,neg
398,neg
399,pos
400,neg
401,pos
402,pos
403,pos
404,neg
405,neg
406,neg
407,neg
408,pos
409,neg
410,neg
411,pos
412,neg
413,pos
414,pos
415,pos
416,neg
417,pos
418,neg
419,pos
420,pos
421,neg
422,neg
423,pos
424,neg
425,pos
426,neg
427,neg
428,pos
429,pos
430,pos
431,neg
432,neg
433,pos
434,pos
435,pos
436,pos
437,neg
438,pos
439,pos
440,neg
441,pos
442,neg
443,pos
444,pos
445,neg
446,neg
447,pos
448,pos
449,pos
450,pos
451,pos
452,pos
453,pos
454,pos
455,neg
456,neg
457,pos
458,neg
459,neg
460,neg
461,pos
462,pos
463,neg
464,pos
465,neg
466,pos
467,neg
468,pos
469,pos
470,neg
471,pos
472,pos
473,pos
474,neg
475,pos
476,neg
477,pos
478,pos
479,neg
480,neg
481,pos
482,pos
483,pos
484,neg
485,pos
486,pos
487,neg
488,pos
489,pos
490,pos
491,neg
492,neg
493,pos
494,pos
495,neg
496,neg
497,neg
498,neg
499,neg
500,pos
501,neg
502,neg
503,pos
504,neg
505,pos
506,pos
507,pos
508,pos
509,pos
510,pos
511,pos
512,neg
513,pos
514,pos
515,neg
516,pos
517,neg
518,pos
519,neg
520,pos
521,pos
522,pos
523,neg
524,neg
525,neg
526,pos
527,pos
528,neg
529,neg
530,pos
531,pos
532,neg
533,pos
534,neg
535,neg
536,neg
537,neg
538,neg
539,pos
540,pos
541,neg
542,pos
543,neg
544,neg
545,neg
546,neg
547,pos
548,pos
549,pos
550,neg
551,pos
552,neg
553,neg
554,pos
555,pos
556,pos
557,pos
558,pos
559,pos
560,neg
561,pos
562,neg
563,neg
564,neg
565,neg
566,pos
567,pos
568,neg
569,pos
570,neg
571,neg
572,pos
573,neg
574,pos
575,neg
576,pos
577,pos
578,neg
579,neg
580,neg
581,neg
582,neg
583,pos
584,neg
585,neg
586,pos
587,neg
588,pos
589,pos
590,pos
591,neg
592,pos
593,neg
594,neg
595,neg
596,pos
597,neg
598,neg
599,pos
600,pos
601,pos
602,neg
603,neg
604,neg
605,pos
606,neg
607,neg
608,neg
609,pos
610,pos
611,neg
612,pos
613,pos
614,pos
615,pos
616,neg
617,neg
618,neg
619,neg
620,neg
621,pos
622,neg
623,pos
624,pos
625,pos
626,pos
627,pos
628,neg
629,neg
630,pos
631,pos
632,neg
633,pos
634,pos
635,neg
636,neg
637,pos
638,pos
639,neg
640,neg
641,neg
642,pos
643,neg
644,neg
645,neg
646,pos
647,pos
648,neg
649,neg
650,neg
651,pos
652,neg
653,neg
654,pos
655,neg
656,neg
657,neg
658,neg
659,pos
660,neg
661,pos
662,pos
663,pos
664,pos
665,pos
666,neg
667,neg
668,pos
669,pos
670,pos
671,neg
672,neg
673,neg
674,pos
675,pos
676,neg
677,neg
678,pos
679,neg
680,neg
681,pos
682,neg
683,neg
684,neg
685,pos
686,neg
687,pos
688,neg
689,pos
690,neg
691,pos
692,pos
693,pos
694,neg
695,pos
696,pos
697,pos
698,neg
699,neg
700,pos
701,pos
702,neg
703,neg
704,pos
705,neg
706,neg
707,pos
708,pos
709,pos
710,neg
711,neg
712,pos
713,pos
714,pos
715,pos
716,pos
717,pos
718,pos
719,neg
720,pos
721,neg
722,neg
723,neg
724,neg
725,neg
726,neg
727,neg
728,neg
729,pos
730,neg
731,pos
732,pos
733,neg
734,pos
735,pos
736,pos
737,neg
738,neg
739,neg
740,pos
741,neg
742,neg
743,pos
744,pos
745,pos
746,pos
747,pos
748,neg
749,neg
750,neg
751,pos
752,pos
753,neg
754,neg
755,neg
756,pos
757,neg
758,pos
759,neg
760,pos
761,neg
762,neg
763,pos
764,neg
765,neg
766,neg
767,pos
768,pos
769,pos
770,pos
771,neg
772,neg
773,pos
774,pos
775,neg
776,pos
777,pos
778,neg
779,neg
780,neg
781,neg
782,neg
783,pos
784,pos
785,neg
786,pos
787,neg
788,pos
789,neg
790,neg
791,pos
792,pos
793,pos
794,pos
795,pos
796,pos
797,neg
798,pos
799,pos
800,neg
801,neg
802,neg
803,neg
804,pos
805,pos
806,neg
807,neg
808,neg
809,pos
810,neg
811,neg
812,neg
813,neg
814,pos
815,pos
816,pos
817,pos
818,pos
819,pos
820,pos
821,pos
822,neg
823,pos
824,pos
825,neg
826,neg
827,pos
828,pos
829,neg
830,neg
831,pos
832,pos
833,neg
834,neg
835,neg
836,pos
837,pos
838,pos
839,neg
840,neg
841,pos
842,neg
843,pos
844,pos
845,pos
846,neg
847,neg
848,neg
849,neg
850,neg
851,neg
852,pos
853,pos
854,pos
855,pos
856,pos
857,neg
858,neg
859,pos
860,neg
861,pos
862,pos
863,pos
864,neg
865,pos
866,neg
867,neg
868,neg
869,pos
870,neg
871,neg
872,neg
873,neg
874,neg
875,pos
876,pos
877,pos
878,neg
879,pos
880,neg
881,neg
882,pos
883,pos
884,neg
885,pos
886,neg
887,pos
888,neg
889,neg
890,pos
891,neg
892,pos
893,neg
894,pos
895,neg
896,pos
897,neg
898,pos
899,neg
900,neg
901,neg
902,pos
903,neg
904,pos
905,pos
906,neg
907,neg
908,neg
909,pos
910,neg
911,pos
912,pos
913,pos
914,pos
915,neg
916,neg
917,neg
918,pos
919,neg
920,neg
921,neg
922,pos
923,neg
924,pos
925,neg
926,pos
927,neg
928,neg
929,pos
930,neg
931,neg
932,pos
933,neg
934,pos
935,neg
936,neg
937,pos
938,neg
939,pos
940,neg
941,neg
942,pos
943,pos
944,neg
945,pos
946,pos
947,neg
948,neg
949,pos
950,pos
951,neg
952,neg
953,neg
954,pos
955,pos
956,pos
957,neg
958,pos
959,neg
960,pos
961,neg
962,neg
963,pos
964,pos
965,pos
966,neg
967,pos
968,pos
969,neg
970,neg
971,pos
972,neg
973,pos
974,neg
975,pos
976,pos
977,neg
978,pos
979,pos
980,pos
981,pos
982,neg
983,neg
984,pos
985,neg
986,neg
987,pos
988,pos
989,neg
990,pos
991,pos
992,pos
993,neg
994,pos
995,neg
996,pos
997,pos
998,pos
999,pos
1000,pos
1001,neg
1002,pos
1003,pos
1004,neg
1005,pos
1006,pos
1007,neg
1008,neg
1009,neg
1010,neg
1011,neg
1012,neg
1013,pos
1014,pos
1015,neg
1016,neg
1017,neg
1018,pos
1019,neg
1020,pos
1021,pos
1022,neg
1023,neg
1024,neg
1025,neg
1026,neg
1027,pos
1028,neg
1029,pos
1030,pos
1031,neg
1032,neg
1033,neg
1034,neg
1035,pos
1036,pos
1037,pos
1038,pos
1039,pos
1040,neg
1041,neg
1042,pos
1043,neg
1044,neg
1045,neg
1046,neg
1047,neg
1048,pos
1049,neg
1050,pos
1051,pos
1052,pos
1053,neg
1054,pos
1055,pos
1056,pos
1057,pos
1058,pos
1059,neg
1060,pos
1061,neg
1062,pos
1063,pos
1064,pos
1065,pos
1066,pos
1067,pos
1068,neg
1069,neg
1070,pos
1071,pos
1072,pos
1073,pos
1074,pos
1075,neg
1076,pos
1077,neg
1078,neg
1079,pos
1080,neg
1081,neg
1082,neg
1083,neg
1084,neg
1085,pos
1086,neg
1087,pos
1088,neg
1089,pos
1090,pos
1091,neg
1092,neg
1093,neg
1094,pos
1095,pos
1096,neg
1097,pos
1098,pos
1099,pos
1100,neg
1101,pos
1102,pos
1103,pos
1104,pos
1105,neg
1106,neg
1107,pos
1108,pos
1109,neg
1110,neg
1111,pos
1112,pos
1113,pos
1114,neg
1115,pos
1116,neg
1117,pos
1118,neg
1119,neg
1120,pos
1121,pos
1122,neg
1123,neg
1124,pos
1125,pos
1126,neg
1127,neg
1128,pos
1129,pos
1130,neg
1131,pos
1132,neg
1133,neg
1134,pos
1135,pos
1136,neg
1137,pos
1138,pos
1139,pos
1140,pos
1141,pos
1142,pos
1143,neg
1144,neg
1145,neg
1146,pos
1147,pos
1148,neg
1149,neg
1150,pos
1151,neg
1152,pos
1153,pos
1154,pos
1155,neg
1156,neg
1157,neg
1158,pos
1159,pos
1160,neg
1161,pos
1162,neg
1163,pos
1164,neg
1165,pos
1166,pos
1167,neg
1168,pos
1169,neg
1170,pos
1171,neg
1172,neg
1173,pos
1174,pos
1175,neg
1176,neg
1177,pos
1178,pos
1179,pos
1180,neg
1181,neg
1182,pos
1183,neg
1184,neg
1185,pos
1186,pos
1187,pos
1188,neg
1189,pos
1190,neg
1191,pos
1192,pos
1193,neg
1194,pos
1195,neg
1196,neg
1197,pos
1198,pos
1199,neg
1200,neg
1201,pos
1202,neg
1203,pos
1204,pos
1205,pos
1206,pos
1207,neg
1208,neg
1209,pos
1210,pos
1211,neg
1212,pos
1213,neg
1214,pos
1215,pos
1216,pos
1217,neg
1218,pos
1219,neg
1220,neg
1221,neg
1222,pos
1223,pos
1224,neg
1225,neg
1226,pos
1227,pos
1228,neg
1229,neg
1230,neg
1231,neg
1232,neg
1233,neg
1234,neg
1235,pos
1236,neg
1237,pos
1238,neg
1239,pos
1240,neg
1241,pos
1242,pos
1243,neg
1244,pos
1245,neg
1246,pos
1247,neg
1248,neg
1249,neg
1250,pos
1251,neg
1252,neg
1253,neg
1254,pos
1255,neg
1256,pos
1257,pos
1258,neg
1259,pos
1260,neg
1261,neg
1262,pos
1263,neg
1264,pos
1265,pos
1266,neg
1267,pos
1268,pos
1269,pos
1270,pos
1271,pos
1272,neg
1273,neg
1274,pos
1275,pos
1276,neg
1277,pos
1278,neg
1279,neg
1280,pos
1281,neg
1282,pos
1283,neg
1284,pos
1285,pos
1286,pos
1287,pos
1288,pos
1289,pos
1290,neg
1291,pos
1292,neg
1293,pos
1294,neg
1295,pos
1296,neg
1297,neg
1298,neg
1299,neg
1300,neg
1301,pos
1302,pos
1303,pos
1304,neg
1305,neg
1306,pos
1307,pos
1308,pos
1309,pos
1310,pos
1311,neg
1312,pos
1313,pos
1314,neg
1315,neg
1316,pos
1317,pos
1318,pos
1319,pos
1320,pos
1321,neg
1322,pos
1323,pos
1324,neg
1325,pos
1326,neg
1327,neg
1328,neg
1329,pos
1330,neg
1331,neg
1332,pos
1333,neg
1334,pos
1335,pos
1336,neg
1337,pos
1338,pos
1339,pos
1340,pos
1341,pos
1342,neg
1343,neg
1344,pos
1345,neg
1346,neg
1347,pos
1348,neg
1349,neg
1350,neg
1351,neg
1352,pos
1353,pos
1354,neg
1355,pos
1356,pos
1357,pos
1358,pos
1359,neg
1360,pos
1361,neg
1362,neg
1363,pos
1364,neg
1365,pos
1366,pos
1367,neg
1368,pos
1369,pos
1370,pos
1371,pos
1372,pos
1373,neg
1374,neg
1375,pos
1376,neg
1377,pos
1378,pos
1379,pos
1380,neg
1381,neg
1382,neg
1383,neg
1384,pos
1385,neg
1386,pos
1387,pos
1388,pos
1389,neg
1390,pos
1391,pos
1392,neg
1393,neg
1394,pos
1395,pos
1396,neg
1397,neg
1398,neg
1399,neg
1400,neg
1401,pos
1402,neg
1403,pos
1404,neg
1405,neg
1406,neg
1407,neg
1408,neg
1409,neg
1410,neg
1411,pos
1412,pos
1413,neg
1414,neg
1415,neg
1416,neg
1417,neg
1418,pos
1419,pos
1420,neg
1421,pos
1422,neg
1423,pos
1424,pos
1425,neg
1426,pos
1427,pos
1428,pos
1429,pos
1430,pos
1431,neg
1432,neg
1433,neg
1434,neg
1435,neg
1436,neg
1437,neg
1438,pos
1439,pos
1440,neg
1441,neg
1442,pos
1443,pos
1444,neg
1445,neg
1446,neg
1447,pos
1448,pos
1449,neg
1450,neg
1451,pos
1452,pos
1453,neg
1454,neg
1455,pos
1456,pos
1457,pos
1458,neg
1459,neg
1460,neg
1461,neg
1462,pos
1463,neg
1464,pos
1465,pos
1466,pos
1467,pos
1468,neg
1469,pos
1470,neg
1471,pos
1472,pos
1473,neg
1474,pos
1475,neg
1476,pos
1477,pos
1478,neg
1479,neg
1480,pos
1481,pos
1482,neg
1483,pos
1484,neg
1485,neg
1486,pos
1487,neg
1488,pos
1489,pos
1490,neg
1491,neg
1492,neg
1493,pos
1494,pos
1495,neg
1496,neg
1497,pos
1498,neg
1499,pos
1500,neg
1501,neg
1502,pos
1503,neg
1504,neg
1505,neg
1506,pos
1507,pos
1508,pos
1509,neg
1510,neg
1511,neg
1512,pos
1513,pos
1514,pos
1515,pos
1516,neg
1517,pos
1518,pos
1519,pos
1520,neg
1521,pos
1522,pos
1523,neg
1524,pos
1525,neg
1526,pos
1527,neg
1528,neg
1529,neg
1530,neg
1531,neg
1532,pos
1533,neg
1534,pos
1535,pos
1536,neg
1537,pos
1538,neg
1539,neg
1540,neg
1541,neg
1542,neg
1543,neg
1544,neg
1545,pos
1546,neg
1547,pos
1548,pos
1549,pos
1550,pos
1551,pos
1552,neg
1553,neg
1554,neg
1555,pos
1556,pos
1557,neg
1558,neg
1559,neg
1560,neg
1561,pos
1562,pos
1563,pos
1564,pos
1565,neg
1566,neg
1567,pos
1568,pos
1569,pos
1570,neg
1571,pos
1572,neg
1573,neg
1574,pos
1575,pos
1576,pos
1577,pos
1578,pos
1579,neg
1580,pos
1581,neg
1582,neg
1583,pos
1584,pos
1585,pos
1586,pos
1587,neg
1588,pos
1589,neg
1590,pos
1591,pos
1592,neg
1593,pos
1594,pos
1595,pos
1596,pos
1597,pos
1598,pos
1599,pos
1600,neg
1601,neg
1602,neg
1603,pos
1604,pos
1605,neg
1606,pos
1607,pos
1608,pos
1609,neg
1610,pos
1611,pos
1612,neg
1613,pos
1614,pos
1615,neg
1616,pos
1617,pos
1618,pos
1619,neg
1620,pos
1621,neg
1622,neg
1623,neg
1624,neg
1625,neg
1626,pos
1627,pos
1628,neg
1629,neg
1630,pos
1631,pos
1632,neg
1633,pos
1634,neg
1635,neg
1636,pos
1637,neg
1638,neg
1639,pos
1640,neg
1641,pos
1642,pos
1643,neg
1644,neg
1645,pos
1646,neg
1647,pos
1648,neg
1649,pos
1650,pos
1651,neg
1652,neg
1653,pos
1654,neg
1655,pos
1656,neg
1657,pos
1658,neg
1659,neg
1660,pos
1661,pos
1662,neg
1663,pos
1664,pos
1665,neg
1666,pos
1667,neg
1668,pos
1669,pos
1670,neg
1671,pos
1672,pos
1673,neg
1674,pos
1675,neg
1676,pos
1677,neg
1678,neg
1679,neg
1680,neg
1681,neg
1682,neg
1683,pos
1684,pos
1685,pos
1686,neg
1687,pos
1688,pos
1689,neg
1690,neg
1691,neg
1692,neg
1693,neg
1694,pos
1695,neg
1696,pos
1697,neg
1698,neg
1699,pos
1700,pos
1701,neg
1702,neg
1703,pos
1704,neg
1705,pos
1706,pos
1707,pos
1708,pos
1709,neg
1710,neg
1711,neg
1712,neg
1713,pos
1714,neg
1715,neg
1716,pos
1717,neg
1718,neg
1719,pos
1720,pos
1721,neg
1722,neg
1723,neg
1724,pos
1725,pos
1726,neg
1727,pos
1728,pos
1729,pos
1730,pos
1731,pos
1732,pos
1733,pos
1734,neg
1735,pos
1736,neg
1737,neg
1738,neg
1739,neg
1740,pos
1741,pos
1742,pos
1743,pos
1744,pos
1745,neg
1746,neg
1747,neg
1748,neg
1749,neg
1750,pos
1751,neg
1752,pos
1753,neg
1754,neg
1755,pos
1756,pos
1757,neg
1758,neg
1759,pos
1760,pos
1761,neg
1762,pos
1763,neg
1764,neg
1765,neg
1766,neg
1767,pos
1768,pos
1769,pos
1770,pos
1771,neg
1772,neg
1773,pos
1774,neg
1775,neg
1776,neg
1777,pos
1778,pos
1779,neg
1780,pos
1781,pos
1782,neg
1783,pos
1784,pos
1785,neg
1786,pos
1787,pos
1788,pos
1789,pos
1790,pos
1791,neg
1792,neg
1793,pos
1794,neg
1795,neg
1796,neg
1797,pos
1798,neg
1799,neg
1800,neg
1801,pos
1802,neg
1803,pos
1804,neg
1805,pos
1806,pos
1807,neg
1808,neg
1809,pos
1810,neg
1811,pos
1812,pos
1813,neg
1814,neg
1815,neg
1816,neg
1817,neg
1818,neg
1819,neg
1820,neg
1821,neg
1822,neg
1823,neg
1824,neg
1825,neg
1826,pos
1827,neg
1828,pos
1829,pos
1830,pos
1831,pos
1832,pos
1833,pos
1834,pos
1835,neg
1836,pos
1837,neg
1838,pos
1839,pos
1840,pos
1841,neg
1842,neg
1843,pos
1844,neg
1845,neg
1846,neg
1847,neg
1848,pos
1849,neg
1850,pos
1851,pos
1852,neg
1853,neg
1854,neg
1855,pos
1856,pos
1857,neg
1858,pos
1859,neg
1860,neg
1861,pos
1862,pos
1863,neg
1864,neg
1865,pos
1866,neg
1867,neg
1868,neg
1869,neg
1870,pos
1871,pos
1872,neg
1873,pos
1874,neg
1875,neg
1876,neg
1877,pos
1878,neg
1879,pos
1880,neg
1881,pos
1882,pos
1883,neg
1884,pos
1885,pos
1886,neg
1887,neg
1888,pos
1889,neg
1890,neg
1891,pos
1892,neg
1893,pos
1894,neg
1895,pos
1896,neg
1897,pos
1898,neg
1899,pos
1900,neg
1901,pos
1902,pos
1903,pos
1904,pos
1905,neg
1906,pos
1907,pos
1908,pos
1909,neg
1910,neg
1911,pos
1912,neg
1913,neg
1914,pos
1915,neg
1916,neg
1917,pos
1918,neg
1919,pos
1920,neg
1921,neg
1922,pos
1923,pos
1924,neg
1925,neg
1926,pos
1927,neg
1928,neg
1929,neg
1930,neg
1931,pos
1932,pos
1933,neg
1934,pos
1935,pos
1936,pos
1937,neg
1938,pos
1939,neg
1940,pos
1941,pos
1942,neg
1943,neg
1944,pos
1945,pos
1946,pos
1947,neg
1948,neg
1949,neg
1950,pos
1951,pos
1952,pos
1953,pos
1954,pos
1955,pos
1956,neg
1957,pos
1958,pos
1959,pos
1960,neg
1961,neg
1962,pos
1963,pos
1964,pos
1965,neg
1966,neg
1967,neg
1968,pos
1969,pos
1970,pos
1971,pos
1972,neg
1973,pos
1974,pos
1975,pos
1976,pos
1977,neg
1978,pos
1979,neg
1980,pos
1981,neg
1982,neg
1983,pos
1984,pos
1985,neg
1986,pos
1987,neg
1988,neg
1989,neg
1990,neg
1991,neg
1992,neg
1993,pos
1994,neg
1995,pos
1996,neg
1997,pos
1998,neg
1999,neg
2000,neg
2001,pos
2002,pos
2003,pos
2004,pos
2005,pos
2006,pos
2007,pos
2008,neg
2009,neg
2010,pos
2011,neg
2012,pos
2013,pos
2014,neg
2015,pos
2016,neg
2017,neg
2018,neg
2019,neg
2020,pos
2021,pos
2022,pos
2023,neg
2024,neg
2025,pos
2026,neg
2027,pos
2028,pos
2029,pos
2030,neg
2031,pos
2032,neg
2033,pos
2034,neg
2035,neg
2036,pos
2037,neg
2038,neg
2039,pos
2040,pos
2041,neg
2042,pos
2043,pos
2044,pos
2045,neg
2046,pos
2047,pos
2048,neg
2049,pos
2050,pos
2051,pos
2052,neg
2053,pos
2054,pos
2055,pos
2056,pos
2057,neg
2058,neg
2059,pos
2060,neg
2061,neg
2062,neg
2063,pos
2064,neg
2065,pos
2066,pos
2067,neg
2068,pos
2069,pos
2070,pos
2071,pos
2072,pos
2073,neg
2074,neg
2075,pos
2076,neg
2077,neg
2078,pos
2079,pos
2080,neg
2081,pos
2082,neg
2083,pos
2084,neg
2085,pos
2086,pos
2087,pos
2088,pos
2089,pos
2090,pos
2091,neg
2092,pos
2093,pos
2094,neg
2095,pos
2096,pos
2097,neg
2098,neg
2099,pos
2100,neg
2101,neg
2102,neg
2103,neg
2104,pos
2105,neg
2106,pos
2107,neg
2108,neg
2109,pos
2110,pos
2111,neg
2112,pos
2113,pos
2114,pos
2115,neg
2116,neg
2117,pos
2118,pos
2119,pos
2120,neg
2121,neg
2122,pos
2123,neg
2124,pos
2125,pos
2126,pos
2127,neg
2128,pos
2129,neg
2130,pos
2131,pos
2132,pos
2133,pos
2134,neg
2135,pos
2136,neg
2137,pos
2138,neg
2139,neg
2140,neg
2141,neg
2142,pos
2143,pos
2144,pos
2145,pos
2146,pos
2147,neg
2148,neg
2149,neg
2150,neg
2151,neg
2152,pos
2153,neg
2154,pos
2155,neg
2156,pos
2157,pos
2158,neg
2159,neg
2160,pos
2161,neg
2162,pos
2163,neg
2164,pos
2165,neg
2166,neg
2167,pos
2168,pos
2169,pos
2170,neg
2171,neg
2172,pos
2173,pos
2174,pos
2175,pos
2176,neg
2177,neg
2178,pos
2179,pos
2180,neg
2181,pos
2182,neg
2183,neg
2184,neg
2185,neg
2186,neg
2187,neg
2188,neg
2189,pos
2190,pos
2191,pos
2192,neg
2193,neg
2194,neg
2195,pos
2196,pos
2197,pos
2198,neg
2199,pos
2200,neg
2201,pos
2202,pos
2203,pos
2204,neg
2205,neg
2206,pos
2207,pos
2208,pos
2209,pos
2210,neg
2211,neg
2212,neg
2213,neg
2214,pos
2215,neg
2216,neg
2217,neg
2218,pos
2219,pos
2220,pos
2221,neg
2222,pos
2223,neg
2224,pos
2225,pos
2226,pos
2227,pos
2228,pos
2229,neg
2230,pos
2231,pos
2232,pos
2233,pos
2234,neg
2235,neg
2236,pos
2237,pos
2238,pos
2239,neg
2240,neg
2241,pos
2242,neg
2243,pos
2244,pos
2245,pos
2246,pos
2247,neg
2248,neg
2249,neg
2250,neg
2251,pos
2252,neg
2253,pos
2254,pos
2255,pos
2256,neg
2257,pos
2258,neg
2259,neg
2260,neg
2261,neg
2262,pos
2263,pos
2264,neg
2265,pos
2266,pos
2267,neg
2268,pos
2269,neg
2270,neg
2271,neg
2272,neg
2273,pos
2274,neg
2275,pos
2276,neg
2277,pos
2278,pos
2279,neg
2280,neg
2281,pos
2282,neg
2283,neg
2284,pos
2285,neg
2286,neg
2287,neg
2288,pos
2289,neg
2290,pos
2291,neg
2292,neg
2293,pos
2294,neg
2295,neg
2296,neg
2297,pos
2298,neg
2299,pos
2300,pos
2301,pos
2302,pos
2303,neg
2304,pos
2305,pos
2306,neg
2307,neg
2308,neg
2309,pos
2310,pos
2311,pos
2312,neg
2313,neg
2314,neg
2315,pos
2316,pos
2317,pos
2318,pos
2319,pos
2320,neg
2321,neg
2322,pos
2323,pos
2324,pos
2325,pos
2326,pos
2327,pos
2328,pos
2329,pos
2330,pos
2331,neg
2332,pos
2333,pos
2334,neg
2335,pos
2336,neg
2337,neg
2338,pos
2339,pos
2340,pos
2341,pos
2342,pos
2343,pos
2344,neg
2345,pos
2346,pos
2347,neg
2348,pos
2349,neg
2350,pos
2351,neg
2352,neg
2353,pos
2354,neg
2355,neg
2356,neg
2357,neg
2358,neg
2359,neg
2360,neg
2361,neg
2362,pos
2363,neg
2364,neg
2365,neg
2366,neg
2367,neg
2368,neg
2369,pos
2370,neg
2371,pos
2372,neg
2373,pos
2374,neg
2375,neg
2376,neg
2377,neg
2378,pos
2379,pos
2380,neg
2381,neg
2382,pos
2383,pos
2384,neg
2385,neg
2386,pos
2387,pos
2388,pos
2389,neg
2390,pos
2391,neg
2392,pos
2393,pos
2394,pos
2395,pos
2396,pos
2397,neg
2398,pos
2399,neg
2400,pos
2401,neg
2402,neg
2403,pos
2404,pos
2405,pos
2406,pos
2407,neg
2408,neg
2409,neg
2410,neg
2411,pos
2412,neg
2413,neg
2414,pos
2415,neg
2416,pos
2417,neg
2418,pos
2419,neg
2420,pos
2421,pos
2422,pos
2423,neg
2424,pos
2425,neg
2426,pos
2427,neg
2428,pos
2429,pos
2430,pos
2431,neg
2432,neg
2433,neg
2434,pos
2435,pos
2436,pos
2437,neg
2438,pos
2439,pos
2440,pos
2441,neg
2442,neg
2443,neg
2444,pos
2445,neg
2446,pos
2447,pos
2448,pos
2449,pos
2450,neg
2451,pos
2452,neg
2453,neg
2454,neg
2455,neg
2456,pos
2457,neg
2458,pos
2459,neg
2460,pos
2461,neg
2462,pos
2463,neg
2464,pos
2465,pos
2466,pos
2467,pos
2468,neg
2469,pos
2470,neg
2471,neg
2472,neg
2473,pos
2474,pos
2475,pos
2476,pos
2477,pos
2478,pos
2479,neg
2480,pos
2481,neg
2482,pos
2483,pos
2484,neg
2485,pos
2486,neg
2487,pos
2488,neg
2489,neg
2490,pos
2491,neg
2492,neg
2493,pos
2494,neg
2495,neg
2496,neg
2497,neg
